DEPARTAMENTO,n_samples,sanitary_mean,discharge_mean,critical_rate_pct,sanitary_rank
AMAZONAS,67.0,61.86417910447761,24.919104477611942,100.0,9.0
ANTIOQUIA,251.0,57.89704724409449,17.625196850393703,98.03149606299213,15.0
ARAUCA,32.0,70.89666666666666,21.89121212121212,100.0,3.0
ATLANTICO,62.0,60.03870967741935,30.77758064516129,98.38709677419355,13.0
BOLÍVAR,249.0,60.5216862745098,26.984235294117646,98.82352941176471,12.0
BOYACÁ,456.0,52.01166301969365,10.362669584245076,91.2472647702407,25.0
CALDAS,146.0,51.46938356164384,16.88294520547945,91.78082191780823,27.0
CAQUETA,43.0,51.633023255813946,2.184186046511628,93.02325581395348,26.0
CASANARE,87.0,56.662528735632186,17.768045977011493,96.55172413793103,16.0
CAUCA,77.0,70.48116883116883,10.623376623376622,100.0,4.0
CESAR,68.0,59.88014705882353,13.872941176470588,100.0,14.0
CHOCÓ,40.0,63.93634146341463,17.267317073170734,95.1219512195122,7.0
CORDOBA,131.0,60.97908396946565,21.441984732824423,100.0,11.0
CUNDINAMARCA,1283.0,54.24227661227661,18.127612752721618,93.47319347319348,22.0
GUAINÍA,34.0,79.79705882352943,0.0,100.0,1.0
HUILA,1243.0,53.02555644515613,8.399431545236189,96.79743795036029,24.0
LA GUAJIRA,74.0,54.065866666666665,9.111066666666666,96.0,23.0
MAGDALENA,186.0,54.503882978723404,14.465212765957448,92.02127659574468,21.0
META,248.0,61.2710843373494,20.83140562248996,98.79518072289156,10.0
NARIÑO,472.0,46.88038135593221,12.539470338983051,84.56659619450318,28.0
NORTE DE SANTANDER,177.0,56.30361581920905,15.016101694915257,99.43502824858757,18.0
PUTUMAYO,40.0,65.20325,5.366,100.0,6.0
RISARALDA,94.0,56.50989583333334,10.010520833333333,97.91666666666666,17.0
SANTANDER,482.0,55.73352697095435,22.52405797101449,97.9296066252588,20.0
TOLIMA,489.0,56.26830612244898,15.697393075356416,97.9633401221996,19.0
VALLE DEL CAUCA,92.0,63.23677419354839,16.506989247311825,100.0,8.0
VAUPES,33.0,75.15878787878788,0.0,96.96969696969697,2.0
VICHADA,162.0,67.30612121212121,10.077696969696971,98.7878787878788,5.0
