NOMBRE DEL PUNTO DE MONITOREO,n_samples,sanitary_mean,discharge_mean,critical_rate_pct,LATITUD,LONGITUD,DEPARTAMENTO,MUNICIPIO,sanitary_rank,discharge_rank
ARMA_CAL_AGUADAS_DESEMBOCADURA RIO ARMA,4.0,64.325,22.9375,100.0,5.7375,-75.5975,CALDAS,AGUADAS,25.0,58.0
BACHE_HUI_NEIVA_PTE.SAN FRANCISCO METALICO - BACHE,27.0,55.80111111111111,11.292222222222222,100.0,3.053444,-75.357444,HUILA,NEIVA,131.0,127.0
BACHE_HUI_PALERMO_MESA DE HERNANDEZ,10.0,54.503,9.196000000000002,100.0,2.954833,-75.463611,HUILA,PALERMO,156.0,142.0
BACHE_HUI_SANTA MARIA_SOCORRO EL [21127020],24.0,54.5275,13.116666666666665,100.0,2.95425,-75.52105556,HUILA,SANTA MARÍA,155.0,111.0
BACHE_HUI_SANTA MARIA_STA.MARIA [21127030],26.0,55.45692307692308,9.512307692307692,100.0,2.971777778,-75.59244444,HUILA,SANTA MARÍA,137.0,138.0
BLANCO_NAR_CUASPUD_CARLOSAMA [52057040],25.0,50.04600000000001,1.3188,100.0,0.844166667,-77.68588889,NARIÑO,CUASPUD (CARLOSAMA),205.0,208.0
BOGOTA_CUN_BOGOTA_CORTIJO EL 37,14.0,0.0,10.197142857142856,21.428571428571427,4.729092,-74.126761,CUNDINAMARCA,BOGOTÁ D.C.,243.0,134.0
BOGOTA_CUN_CHIA_FRENTE HACIENDA DARIEN,13.0,5.586923076923076,9.790000000000001,38.46153846153847,4.829701,-74.070881,CUNDINAMARCA,CHÍA,242.0,137.0
BOGOTA_CUN_CHIA_PTE.EL COMUN,27.0,30.783703703703704,4.667407407407407,66.66666666666666,4.863694444,-74.02911111,CUNDINAMARCA,CHÍA,233.0,174.0
CARARE_SAN_PUERTO PARRA_DESEMBOCADURA RIO CARARE,10.0,56.724000000000004,27.724,100.0,6.778055556,-74.10333333,SANTANDER,PUERTO PARRA,103.0,39.0
CATATUMBO_NOR_TIBU_PTO.BARCO-GABARRA [16067010],11.0,56.56909090909091,14.6,100.0,9.003611111,-72.9,NORTE DE SANTANDER,TIBÚ,108.0,106.0
CEIBAS_HUI_NEIVA_EL BATÁN,9.0,47.282222222222224,1.9233333333333331,100.0,2.796782,-75.074942,HUILA,NEIVA,216.0,201.0
CEIBAS_HUI_NEIVA_LA LINDOSA,12.0,41.555,6.5249999999999995,83.33333333333334,2.877222,-75.147778,HUILA,NEIVA,224.0,161.0
CHICAMOCHA_BOY_TIPACOQUE_PLAYA LA [24037280],23.0,62.02521739130435,31.59391304347826,100.0,6.383333333,-72.71666667,BOYACÁ,COVARACHÍA,40.0,16.0
CIMITARRA_BOL_SAN PABLO_DESEMBOCADURA RIO CIMITARRA,12.0,59.08500000000001,23.706666666666663,100.0,7.4675,-73.92388889,BOLÍVAR,SAN PABLO,70.0,55.0
COMBEIMA_TOL_IBAGUE_YULDAIMA [21217260],22.0,54.55272727272727,13.09909090909091,100.0,4.4385,-75.24280556,TOLIMA,IBAGUÉ,153.0,112.0
CÑO.SAN SILVESTRE_SAN_BARRANCABERMEJA_PTE.FERROCARRIL CGA.SAN SILVESTRE [24057070],8.0,77.50125,0.0,100.0,7.109444444,-73.85472222,SANTANDER,BARRANCABERMEJA,4.0,214.0
FORTALECILLAS_HUI_TELLO_LA VICTORIA - FORTALECILLAS,12.0,56.31583333333334,7.614166666666667,100.0,2.99621,-75.11486,HUILA,TELLO,113.0,153.0
FRIO_HUI_RIVERA_LAS JUNTAS,10.0,30.481999999999992,2.298,60.0,2.758056,-75.211944,HUILA,RIVERA,234.0,197.0
GUACHICOS_HUI_PITALITO_PTE.BRUSELAS,10.0,50.176,2.245,100.0,1.785,-76.163889,HUILA,PITALITO,201.0,198.0
GUAITARA/ANGASMAYO_NAR_IMUES_PILCUAN [52057010],11.0,33.38727272727272,11.590909090909092,72.72727272727273,1.021777778,-77.47280556,NARIÑO,IMUÉS,231.0,119.0
GUAITARA/QDA.DE EL MORRO_NAR_IPIALES_PTE.RUMICHACA [52057100],21.0,49.0547619047619,4.562857142857143,95.23809523809523,0.813786111,-77.66197778,NARIÑO,IPIALES,207.0,176.0
GUAITARA_NAR_EL TAMBO_SAN PEDRO [52057050],13.0,31.668333333333333,11.549999999999999,61.53846153846154,1.383,-77.48227778,NARIÑO,LINARES,232.0,120.0
GUAITARA_NAR_LOS ANDES_AGROYACO [52057030],23.0,65.82565217391304,21.374347826086954,100.0,1.574388889,-77.44197222,NARIÑO,LOS ANDES (SOTOMAYOR),16.0,64.0
GUALI_TOL_HONDA_DESEMBOCADURA RIO GUALI,4.0,63.0025,19.415,100.0,5.20525,-74.73563889,TOLIMA,HONDA,31.0,73.0
GUALI_TOL_HONDA_PTE.LOPEZ [23017030],19.0,62.781578947368416,31.3,100.0,5.203888889,-74.74111111,TOLIMA,HONDA,32.0,19.0
GUARAPAS_HUI_PALESTINA_CABILDO INDÍGENA YACUAS,10.0,48.976,0.0,100.0,1.705,-76.125,HUILA,PALESTINA,209.0,214.0
GUARAPAS_HUI_PALESTINA_PTE GUILLERMO PLAZAS,16.0,46.991875,0.0,93.75,1.715833,-76.123333,HUILA,PALESTINA,217.0,214.0
GUARAPAS_HUI_PALESTINA_PTE.FUNDADORES,25.0,48.5784,1.7216,96.0,1.766109,-76.08939,HUILA,PALESTINA,210.0,204.0
GUARAPAS_HUI_PITALITO_ANTES DESEMBOCADURA EN RIO MAGDALENA,5.0,51.172000000000004,0.0,100.0,1.877277778,-76.16143611,HUILA,PITALITO,196.0,214.0
GUARAPAS_HUI_PITALITO_DESEMBOCADURA DE RIO GUACHICOS,24.0,55.364583333333336,2.7600000000000002,100.0,1.868451,-76.145781,HUILA,PITALITO,139.0,194.0
GUIZA_NAR_RICAURTE_PIPIGUAY [51027050],22.0,38.133636363636356,2.9713636363636367,77.27272727272727,1.236944444,-78.09722222,NARIÑO,RICAURTE,225.0,193.0
LEBRIJA_CES_AGUACHICA_DESEMBOCADURA RIO LEBRIJA,11.0,56.15909090909091,4.622727272727273,100.0,8.131111111,-73.77305556,CESAR,AGUACHICA,120.0,175.0
LEBRIJA_SAN_GIRON_CAFE MADRID [23197290],38.0,57.20157894736842,19.049210526315797,100.0,7.17,-73.15,SANTANDER,GIRÓN,91.0,76.0
LEBRIJA_SAN_LEBRIJA_ANGOSTURAS [23197400],6.0,56.166666666666664,29.189999999999998,100.0,7.335277778,-73.33083333,SANTANDER,LEBRIJA,119.0,34.0
LEBRIJA_SAN_PUERTO WILCHES_SAN JUAN DE LOS CHORROS  [2319700096],7.0,56.81857142857143,38.72714285714285,100.0,7.692805556,-73.774055556,SANTANDER,PUERTO WILCHES,100.0,5.0
MAGDALENA/CANAL DEL DIQUE_ATL_SANTA LUCIA_INCORA K-7 [29037360],30.0,61.42833333333333,29.943333333333335,96.66666666666667,10.30280833,-74.94655833,ATLANTICO,SANTA LUCIA,43.0,30.0
MAGDALENA_BOL_SAN PABLO_SAN PABLO RIO MAGDALENA  - AUT [23207040],7.0,56.81285714285714,28.437142857142856,100.0,7.480333333,-73.918555556,BOLÍVAR,SAN PABLO,101.0,37.0
MAGDALENA_HUI_AGRADO_PTE.BALSEADERO [21047010],42.0,56.19547619047619,15.584285714285713,97.61904761904762,2.232361111,-75.64855556,HUILA,AGRADO,117.0,99.0
