MUNICIPIO,n_samples,sanitary_mean,discharge_mean,critical_rate_pct,DEPARTAMENTO,sanitary_rank
ACEVEDO,26.0,54.528076923076924,1.758076923076923,100.0,HUILA,112.0
AGRADO,42.0,56.19547619047619,15.584285714285713,97.61904761904762,HUILA,88.0
AGUACHICA,11.0,56.15909090909091,4.622727272727273,100.0,CESAR,91.0
AGUADAS,52.0,56.243461538461546,20.025000000000002,98.07692307692307,CALDAS,84.0
AIPE,7.0,53.62428571428571,3.2914285714285714,100.0,HUILA,119.0
ALBANIA,27.0,58.76962962962963,20.397037037037038,100.0,LA GUAJIRA,59.0
ALGECIRAS,26.0,54.75384615384615,11.42576923076923,100.0,HUILA,109.0
ALTAMIRA,102.0,54.43421568627451,8.35921568627451,97.05882352941177,HUILA,114.0
ARACATACA,31.0,48.12193548387098,3.0412903225806454,90.32258064516128,MAGDALENA,156.0
ARIGUANÍ (EL DIFICIL),16.0,63.113125,18.118125,100.0,MAGDALENA,21.0
AYAPEL,33.0,65.79757575757574,26.899696969696972,100.0,CORDOBA,12.0
BARRANCABERMEJA,33.0,61.04272727272727,21.817878787878787,100.0,SANTANDER,37.0
BARRANQUILLA,32.0,58.735937500000006,31.5596875,100.0,ATLANTICO,60.0
BOGOTÁ D.C.,14.0,0.0,10.197142857142856,21.428571428571427,CUNDINAMARCA,170.0
BUCARAMANGA,10.0,54.878,13.003,100.0,SANTANDER,106.0
BUENOS AIRES,6.0,53.865,7.670000000000001,100.0,CAUCA,117.0
CALAMAR,39.0,59.04589743589744,30.29923076923077,100.0,BOLÍVAR,54.0
CAMPOALEGRE,74.0,51.7408,6.330666666666666,93.33333333333333,HUILA,141.0
CANDELARIA,32.0,62.67575757575758,20.585151515151512,100.0,VALLE DEL CAUCA,24.0
CAPITANEJO,26.0,55.755384615384614,29.196153846153848,100.0,SANTANDER,95.0
CAUCASIA,33.0,59.92029411764706,30.43794117647059,100.0,ANTIOQUIA,48.0
