Unnamed: 0,NOMBRE DEL PUNTO DE MONITOREO,LATITUD,LONGITUD,ELEVACIÓN (m.s.n.m.),CORRIENTE,ZONA HIDROGRÁFICA - ZH,SZH - Código (#Área#Zona##Subzona),Nombre Subzona Hidrográfica,DEPARTAMENTO,MUNICIPIO,FECHA,PROPIEDAD OBSERVADA ,*RESULTADO,UNIDAD DEL RESULTADO,PROYECTO,CODIGO__MUESTRA,parameter_std,value_raw,is_censored,value_num,unit_raw
,ARMA_CAL_AGUADAS_DESEMBOCADURA RIO ARMA,5.7375,-75.5975,612,ARMA,Cauca,2618,Río Arma,CALDAS,AGUADAS,2007-03-09,CONDUCTIVIDAD ELECTRICA,60,µS/cm,Ideam,14615,Electrical Conductivity,60,False,60.0,µS/cm
,ARMA_CAL_AGUADAS_DESEMBOCADURA RIO ARMA,5.7375,-75.5975,612,ARMA,Cauca,2618,Río Arma,CALDAS,AGUADAS,2011-04-11,CONDUCTIVIDAD ELECTRICA,85.7,µS/cm,Ideam,20148,Electrical Conductivity,85.7,False,85.7,µS/cm
,ARMA_CAL_AGUADAS_DESEMBOCADURA RIO ARMA,5.7375,-75.5975,612,ARMA,Cauca,2618,Río Arma,CALDAS,AGUADAS,2013-11-09,CONDUCTIVIDAD ELECTRICA,109.2,µS/cm,Ideam,22820,Electrical Conductivity,109.2,False,109.2,µS/cm
,ARMA_CAL_AGUADAS_DESEMBOCADURA RIO ARMA,5.7375,-75.5975,612,ARMA,Cauca,2618,Río Arma,CALDAS,AGUADAS,2016-11-07,CONDUCTIVIDAD ELECTRICA,92.18,µS/cm,Ideam,25379,Electrical Conductivity,92.18,False,92.18,µS/cm
,ARMA_CAL_AGUADAS_DESEMBOCADURA RIO ARMA,5.7375,-75.5975,612,ARMA,Cauca,2618,Río Arma,CALDAS,AGUADAS,2007-03-09,DEMANDA BIOQUIMICA DE OXIGENO (DBO5),2.6,mg O2/L,Ideam,14615,BOD5,2.6,False,2.6,mg O2/L
,ARMA_CAL_AGUADAS_DESEMBOCADURA RIO ARMA,5.7375,-75.5975,612,ARMA,Cauca,2618,Río Arma,CALDAS,AGUADAS,2011-04-11,DEMANDA BIOQUIMICA DE OXIGENO (DBO5),<2,mg O2/L,Ideam,20148,BOD5,<2,True,2.0,mg O2/L
,ARMA_CAL_AGUADAS_DESEMBOCADURA RIO ARMA,5.7375,-75.5975,612,ARMA,Cauca,2618,Río Arma,CALDAS,AGUADAS,2013-11-09,DEMANDA BIOQUIMICA DE OXIGENO (DBO5),<2,mg O2/L,Ideam,22820,BOD5,<2,True,2.0,mg O2/L
,ARMA_CAL_AGUADAS_DESEMBOCADURA RIO ARMA,5.7375,-75.5975,612,ARMA,Cauca,2618,Río Arma,CALDAS,AGUADAS,2016-11-07,DEMANDA BIOQUIMICA DE OXIGENO (DBO5),5,mg O2/L,Ideam,25379,BOD5,5,False,5.0,mg O2/L
,ARMA_CAL_AGUADAS_DESEMBOCADURA RIO ARMA,5.7375,-75.5975,612,ARMA,Cauca,2618,Río Arma,CALDAS,AGUADAS,2007-03-09,DEMANDA QUIMICA DE OXIGENO (DQO),63,mg O2/L,Ideam,14615,COD,63,False,63.0,mg O2/L
,ARMA_CAL_AGUADAS_DESEMBOCADURA RIO ARMA,5.7375,-75.5975,612,ARMA,Cauca,2618,Río Arma,CALDAS,AGUADAS,2011-04-11,DEMANDA QUIMICA DE OXIGENO (DQO),11,mg O2/L,Ideam,20148,COD,11,False,11.0,mg O2/L
,ARMA_CAL_AGUADAS_DESEMBOCADURA RIO ARMA,5.7375,-75.5975,612,ARMA,Cauca,2618,Río Arma,CALDAS,AGUADAS,2013-11-09,DEMANDA QUIMICA DE OXIGENO (DQO),<10,mg O2/L,Ideam,22820,COD,<10,True,10.0,mg O2/L
,ARMA_CAL_AGUADAS_DESEMBOCADURA RIO ARMA,5.7375,-75.5975,612,ARMA,Cauca,2618,Río Arma,CALDAS,AGUADAS,2016-11-07,DEMANDA QUIMICA DE OXIGENO (DQO),19,mg O2/L,Ideam,25379,COD,19,False,19.0,mg O2/L
,ARMA_CAL_AGUADAS_DESEMBOCADURA RIO ARMA,5.7375,-75.5975,612,ARMA,Cauca,2618,Río Arma,CALDAS,AGUADAS,2007-03-09,NITRATO,0.67,mg N-NO3-/L,Ideam,14615,Nitrate,0.67,False,0.67,mg N-NO3-/L
,ARMA_CAL_AGUADAS_DESEMBOCADURA RIO ARMA,5.7375,-75.5975,612,ARMA,Cauca,2618,Río Arma,CALDAS,AGUADAS,2011-04-11,NITRATO,0.57,mg N-NO3-/L,Ideam,20148,Nitrate,0.57,False,0.57,mg N-NO3-/L
,ARMA_CAL_AGUADAS_DESEMBOCADURA RIO ARMA,5.7375,-75.5975,612,ARMA,Cauca,2618,Río Arma,CALDAS,AGUADAS,2013-11-09,NITRATO,0.42,mg N-NO3-/L,Ideam,22820,Nitrate,0.42,False,0.42,mg N-NO3-/L
,ARMA_CAL_AGUADAS_DESEMBOCADURA RIO ARMA,5.7375,-75.5975,612,ARMA,Cauca,2618,Río Arma,CALDAS,AGUADAS,2016-11-07,NITRATO,0.7,mg N-NO3-/L,Ideam,25379,Nitrate,0.7,False,0.7,mg N-NO3-/L
,ARMA_CAL_AGUADAS_DESEMBOCADURA RIO ARMA,5.7375,-75.5975,612,ARMA,Cauca,2618,Río Arma,CALDAS,AGUADAS,2007-03-09,NITRITO,<0.006,mg N-NO2-/L,Ideam,14615,Nitrite,<0.006,True,0.006,mg N-NO2-/L
