CODIGO__MUESTRA,FECHA,NOMBRE DEL PUNTO DE MONITOREO,DEPARTAMENTO,MUNICIPIO,LATITUD,LONGITUD,Ammoniacal Nitrogen,BOD5,COD,Chloride,Dissolved Oxygen,Electrical Conductivity,Nitrate,Nitrite,Sulfate,Temperature,Total Suspended Solids,Turbidity,pH
11284,2005-02-15,RCA_BOGOTA_CUN_VILLAPINZON_PTE.CARRETERA-BOGOTA,CUNDINAMARCA,VILLAPINZÓN,5.218611,-73.595556,0.0448,,20.0,,7.2,53.9,0.22,0.006,3.0,13.2,4.5,5.0,6.96
11285,2005-02-15,RCA_BOGOTA_CUN_TOCANCIPA_PTE.TULIO BOTERO-BOGOTA,CUNDINAMARCA,TOCANCIPÁ,4.971916667,-73.91613889,,2.0,33.0,,6.2,52.2,,,,17.6,31.0,25.0,6.78
11289,2005-02-15,RCA_BOGOTA_CUN_VILLAPINZON_SANPEDRO-BOGOTA,CUNDINAMARCA,VILLAPINZÓN,5.194722222,-73.61388889,4.03,59.5,160.0,,2.1,658.0,1.8,0.0085,60.0,14.5,44.0,28.0,10.08
11291,2005-02-16,RCA_BOGOTA_CUN_SOACHA_ALICACHIN - EL SALTO [21207120],CUNDINAMARCA,SOACHA,4.544847222,-74.25826944,15.3,76.8,190.0,,0.0,621.0,0.69,0.006,36.0,19.2,52.0,42.0,7.06
11292,2005-02-16,RCA_BOGOTA_CUN_SOACHA_ALICACHIN - EL SALTO [21207120],CUNDINAMARCA,SOACHA,4.544847222,-74.25826944,14.3,,170.0,,4.2,602.0,0.65,0.006,28.0,19.0,80.0,33.0,7.76
11294,2005-02-16,RCA_BOGOTA_CUN_EL COLEGIO_PTE.CARRETERA LA MESA - MESITAS,CUNDINAMARCA,EL COLEGIO,4.598969,-74.43601,12.4,,120.0,,5.2,557.0,0.79,0.095,61.0,21.5,170.0,167.0,7.65
11297,2005-02-16,RCA_BOGOTA_CUN_TOCAIMA_PTE.PORTILLO [21207960],CUNDINAMARCA,TOCAIMA,4.454861111,-74.60852778,5.48,24.8,220.0,,5.0,503.0,0.86,0.15,88.0,25.3,1400.0,587.0,7.63
11298,2005-02-17,RCA_MAGDALENA_CUN_GIRARDOT_GIRARDOT [21237030],CUNDINAMARCA,GIRARDOT,4.288073,-74.808592,0.139,2.0,35.0,,6.4,147.0,0.073,0.007,3.0,27.3,500.0,315.0,7.56
11299,2005-02-17,RCA_BOGOTA_CUN_GIRARDOT_CAMPINA LA [21209200],CUNDINAMARCA,GIRARDOT,4.304888889,-74.793777778,5.83,3.88,30.0,,1.4,520.0,,0.35,87.0,27.5,48.0,42.0,7.38
11300,2005-02-17,RCA_MAGDALENA_TOL_FLANDES_ISLA DEL AMOR,TOLIMA,FLANDES,4.281944444,-74.77694444,0.0411,2.0,25.0,,6.6,141.0,0.086,0.006,3.0,27.2,430.0,282.0,7.64
11301,2005-02-18,RCA_SUMAPAZ_CUN_RICAURTE_SAN MIGUEL-SUMAPAZ [2119700147],CUNDINAMARCA,RICAURTE,4.248085,-74.744647,0.04,2.0,27.0,,7.0,60.2,0.3,0.012,3.0,25.0,120.0,78.0,7.18
11302,2005-02-18,RCA_SUMAPAZ_TOL_MELGAR_LIMONAR EL [21197150],TOLIMA,MELGAR,4.232555556,-74.62055556,0.04,2.0,23.0,,8.0,54.7,0.32,0.014,3.0,23.7,34.0,40.0,7.46
11316,2005-02-24,RCA_CHIVOR_CUN_UBALA_UBALA [35067030],CUNDINAMARCA,UBALÁ,4.780222222,-73.49183333,0.0565,,55.0,,8.46,91.9,0.14,0.006,28.0,13.7,4.5,6.0,6.72
11317,2005-02-23,RCA_RUCIO_CUN_UBALA_MUNDONUEVO[35067130],CUNDINAMARCA,UBALÁ,4.852833333,-73.39297222,0.0451,,20.0,,8.1,154.9,0.11,0.006,49.0,14.0,4.5,4.6,6.87
11319,2005-02-26,RCA_GUAVIO_CUN_JUNIN_PTE.HOLGUIN [35067050],CUNDINAMARCA,GACHETÁ,4.799055556,-73.62922222,0.146,,20.0,,8.0,129.8,0.099,0.006,14.0,16.6,4.5,4.0,7.4
11320,2005-02-21,RCA_AMAZONAS_AMA_LETICIA_LETICIA [48017010],AMAZONAS,LETICIA,-4.222527778,-69.94272222,0.0924,,27.0,,,185.0,0.6,0.006,3.0,33.1,330.0,310.0,7.38
11321,2005-02-25,RCA_AMAZONAS_AMA_LETICIA_NAZARETH [48017030],AMAZONAS,LETICIA,-4.120194444,-70.03608333,0.0518,,34.0,,,187.1,0.47,0.006,3.0,27.8,410.0,350.0,7.62
11323,2005-02-24,RCA_SUBIA_CUN_SILVANIA_SILVANIA [21197110],CUNDINAMARCA,SILVANIA,4.403055556,-74.385305556,0.074,,20.0,,7.2,79.4,0.83,0.02,3.0,20.6,9.0,14.0,6.96
11327,2005-02-28,RCA_CHULO_BOY_TUTA_PILAS LAS [24037250],BOYACÁ,TUTA,5.666666667,-73.26666667,20.2,,190.0,,1.7,518.0,0.66,0.011,8.2,18.7,25.0,35.0,6.7
11329,2005-02-28,RCA_CHICAMOCHA_BOY_TIBASOSA_SAN RAFAEL [24037190],BOYACÁ,TIBASOSA,5.807611111,-73.01380556,0.15,,20.0,,5.8,172.0,0.5,0.021,41.0,21.4,8.0,10.0,7.7
11330,2005-02-28,RCA_CHICAMOCHA_BOY_SOGAMOSO_PTE.CHAMEZA [24037290],BOYACÁ,SOGAMOSO,5.759888889,-72.90652778,3.88,,75.0,,4.9,576.0,0.76,0.006,162.0,22.8,21.0,21.0,6.6
11331,2005-02-28,RCA_SUMAPAZ_TOL_ICONONZO_PLAYA LA [21197030],TOLIMA,ICONONZO,4.19225,-74.500722222,0.0458,,20.0,,7.0,48.7,0.061,0.006,3.0,22.6,4.5,3.8,6.64
11332,2005-03-01,RCA_SUMAPAZ_TOL_MELGAR_LIMONAR EL [21197150],TOLIMA,MELGAR,4.232555556,-74.62055556,0.0755,,20.0,,7.0,88.7,0.74,0.027,3.0,26.8,31.0,29.0,6.99
11333,2005-03-01,RCA_CAUCA_RIS_LA VIRGINIA_LA VIRGINIA [26177030],RISARALDA,LA VIRGINIA,4.8925,-75.882694444,0.0881,,40.0,,4.4,113.3,0.78,0.006,13.0,28.2,76.0,59.0,6.88
11353,2005-03-01,RCA_PASTO_NAR_PASTO_UNIVERSIDAD [52047010],NARIÑO,PASTO,1.234333333,-77.29294444,13.0,,290.0,,1.0,360.0,0.5,0.019,19.0,15.9,98.0,63.0,7.17
11354,2005-03-02,RCA_PASTO_NAR_PASTO_BOCATOMA CENTENARIO [52047030],NARIÑO,PASTO,1.201388889,-77.24777778,0.22,,20.0,,7.4,60.5,0.88,0.0096,3.0,13.0,7.0,4.5,7.01
11356,2005-03-04,RCA_DE ORO_SAN_GIRON_PALOGORDO [23197690],SANTANDER,GIRÓN,6.969166667,-73.13055556,0.59,,20.0,,6.1,129.7,1.1,0.28,3.0,24.6,13.0,19.0,7.38
11357,2005-03-04,RCA_DE ORO_SAN_PIEDECUESTA_CONQUISTADOR EL [23197430],SANTANDER,PIEDECUESTA,6.989444444,-73.04111111,0.11,,130.0,,7.1,77.5,0.95,0.006,3.0,21.3,680.0,360.0,7.61
11358,2005-03-04,LEBRIJA_SAN_GIRON_CAFE MADRID [23197290],SANTANDER,GIRÓN,7.17,-73.15,5.6,,56.0,,5.3,315.0,0.97,0.18,23.0,28.1,140.0,107.0,7.55
11363,2005-03-05,RCA_UNE_CUN_UNE_CARAZA [35027100],CUNDINAMARCA,UNE,4.428638889,-74.01019444,0.055,,20.0,,6.4,214.0,0.19,0.006,28.0,20.5,6.0,6.8,7.36
11364,2005-03-07,RCA_OTUN_RIS_SANTA ROSA DE CABAL_BANANERA LA 6-909 [26137110],RISARALDA,PEREIRA,4.773388889,-75.63305556,0.04,,20.0,,7.5,148.3,0.46,0.009,29.0,19.1,4.5,2.7,7.24
11366,2005-03-08,RCA_MONIQUIRA_BOY_MONIQUIRA_MONIQUIRA [24017600],BOYACÁ,MONIQUIRÁ,5.878138889,-73.57025,0.08,,30.0,,5.5,125.0,0.47,0.006,29.0,19.5,260.0,228.0,7.9
11380,2005-03-07,RCA_CABRERA_HUI_VILLAVIEJA_SAN ALFONSO [21147010],HUILA,VILLAVIEJA,3.3705,-75.11416667,0.064,,130.0,,7.6,164.2,1.27,0.0499,5.1,25.2,1310.0,6140.0,7.02
11381,2005-03-08,RCA_LAS CEIBAS_HUI_NEIVA_GUAYABO [21117080],HUILA,NEIVA,2.92,-75.15,0.04,,20.0,,8.1,155.7,0.15,0.006,3.0,20.8,42.0,15.0,8.12
11383,2005-03-10,RCA_MAGDALENA_HUI_NEIVA_PTE.SANTANDER [21097070],HUILA,NEIVA,2.942611111,-75.30852778,0.045,,20.0,,5.2,118.4,0.23,0.006,3.0,24.7,40.0,64.0,6.97
11384,2005-03-06,RCA_VICHADA_VIC_CUMARIBO_STA.RITA [33077010],VICHADA,CUMARIBO,4.866127,-68.362697,0.04,,20.0,,5.9,9.96,0.12,0.006,3.0,30.4,9.0,11.0,6.53
11385,2005-03-09,RCA_INIRIDA_GUAI_INIRIDA_PTO.INIRIDA [31097020],GUAINÍA,INÍRIDA,3.867666667,-67.931694444,0.04,,20.0,,4.9,7.7,0.1,0.006,3.0,32.2,6.0,12.0,5.58
11386,2005-03-03,RCA_CAUCA_CAL_NEIRA_IRRA [26167070],CALDAS,NEIRA,5.268305556,-75.66419444,0.04,,20.0,,6.0,124.5,1.12,0.0271,3.7,26.2,400.0,278.0,7.11
11387,2005-03-08,RCA_SINU_COR_MONTERIA_MONTERIA [13067020],CORDOBA,MONTERÍA,8.751611111,-75.89241667,,,20.0,,3.8,122.5,,,,31.7,54.0,40.0,7.5
11388,2005-03-02,RCA_SINU_COR_LORICA_LADOCTRINA [13077040],CORDOBA,LORICA,9.294874,-75.893375,0.094,,20.0,,4.8,119.5,0.41,0.006,,28.9,100.0,73.0,7.7
11389,2005-03-10,RCA_CHINCHINA_CAL_MANIZALES_RETIRO EL [26157020],CALDAS,PALESTINA,5.126777778,-75.67119444,0.04,,20.0,,6.8,186.7,1.33,0.0848,25.0,29.7,110.0,44.0,6.89
11392,2005-03-08,RCA_MAGDALENA_CUN_PUERTO SALGAR_PTO.SALGAR [23037010],CUNDINAMARCA,PUERTO SALGAR,5.469666667,-74.66216667,0.094,,30.0,,6.9,140.4,1.39,0.006,3.0,27.5,640.0,315.0,7.52
11393,2005-03-10,RCA_GUARINO_TOL_HONDA_PTE.CARRETERA [23027060],TOLIMA,HONDA,5.289277778,-74.74608333,,,30.0,,7.7,86.3,,,,25.7,1400.0,1544.0,7.9
