standard_id,layer_id,CODIGO__MUESTRA,n_params,violation_score_0_100,severity_score_0_100,risk_score_0_100,critical_violation_flag,created_at,standard_code,layer_code
1,1,11284,2,57.14,21.43,46.43,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11285,2,57.14,46.94,54.08,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11289,2,100.0,55.54,86.66,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11291,2,57.14,50.79,55.24,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11292,2,57.14,49.21,54.76,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11294,2,57.14,55.46,56.64,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11297,2,57.14,56.66,57.0,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11298,2,57.14,56.24,56.87,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11299,2,57.14,50.79,55.24,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11300,2,57.14,56.14,56.84,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11301,2,57.14,53.62,56.08,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11302,2,57.14,50.5,55.15,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11316,2,57.14,25.4,47.62,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11317,2,57.14,19.55,45.86,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11319,2,57.14,16.33,44.9,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11320,2,57.14,56.23,56.87,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11321,2,57.14,56.33,56.9,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11323,2,57.14,40.34,52.1,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11327,2,57.14,49.62,54.88,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11329,2,57.14,35.16,50.55,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11330,2,57.14,45.24,53.57,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11331,2,57.14,15.13,44.54,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11332,2,57.14,48.21,54.46,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11333,2,57.14,52.53,55.76,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11353,2,57.14,52.81,55.84,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11354,2,57.14,19.05,45.71,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11356,2,57.14,44.16,53.25,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11357,2,57.14,56.36,56.91,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11358,2,57.14,54.55,56.36,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11363,2,57.14,27.99,48.4,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11364,2,57.14,7.02,42.1,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11366,2,57.14,55.91,56.77,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11380,2,57.14,57.1,57.13,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11381,2,57.14,41.27,52.38,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11383,2,57.14,52.88,55.86,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11384,2,57.14,36.73,51.02,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11385,2,100.0,44.76,83.43,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11386,2,57.14,56.13,56.84,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11387,2,57.14,50.5,55.15,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11388,2,57.14,53.38,56.01,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11389,2,57.14,51.06,55.32,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11392,2,57.14,56.24,56.87,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11393,2,57.14,56.96,57.09,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11395,2,57.14,56.09,56.82,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11396,2,57.14,56.79,57.04,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11398,2,57.14,56.0,56.8,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11403,1,100.0,95.15,98.54,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11405,2,57.14,47.93,54.38,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11406,2,57.14,45.71,53.71,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11408,2,57.14,40.34,52.1,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11410,2,100.0,52.47,85.74,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11439,2,57.14,51.19,55.36,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11447,2,57.14,56.64,56.99,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11448,2,57.14,56.65,56.99,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11449,2,57.14,56.28,56.88,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11456,2,100.0,52.75,85.82,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11458,2,100.0,62.62,88.79,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11464,1,0.0,0.0,0.0,0,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11465,2,57.14,56.23,56.87,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11482,2,57.14,54.37,56.31,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11483,2,57.14,56.66,57.0,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11491,2,100.0,55.74,86.72,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11493,2,100.0,56.0,86.8,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11501,2,57.14,49.82,54.94,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11502,2,57.14,54.34,56.3,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11503,2,57.14,56.38,56.91,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11504,1,100.0,91.38,97.41,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11510,2,57.14,54.88,56.46,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11537,2,57.14,43.54,53.06,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11538,2,57.14,30.44,49.13,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11539,2,57.14,35.16,50.55,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11540,2,57.14,49.21,54.76,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11544,2,57.14,54.2,56.26,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11545,2,100.0,56.37,86.91,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11546,2,100.0,59.22,87.77,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11547,2,100.0,58.63,87.59,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11563,2,57.14,42.86,52.86,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11564,2,100.0,24.09,77.23,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11565,2,57.14,35.16,50.55,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11566,2,57.14,28.28,48.48,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11567,2,57.14,16.9,45.07,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11568,1,100.0,98.1,99.43,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11578,2,57.14,56.94,57.08,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11579,2,57.14,56.17,56.85,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11581,1,100.0,43.18,82.95,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11582,1,100.0,86.49,95.95,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11583,2,57.14,55.86,56.76,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11591,1,100.0,95.93,98.78,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11618,2,57.14,55.66,56.7,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11619,2,57.14,52.81,55.84,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11623,2,100.0,34.59,80.38,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11706,2,57.14,56.77,57.03,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11715,2,57.14,23.53,47.06,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11716,2,100.0,50.31,85.09,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11717,2,57.14,51.19,55.36,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11718,2,57.14,46.56,53.97,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11719,2,57.14,48.98,54.69,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11726,2,57.14,36.73,51.02,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,11727,2,0.0,0.0,0.0,0,2026-02-25 17:23:54,CO_2115,SANITARY
