CODIGO__MUESTRA,CO_2115,EPA,epa_minus_colombia,epa_stricter_flag,colombia_only_acceptable
11284,46.43,0.0,-46.43,0,0
11285,54.08,53.71,-0.36999999999999744,0,0
11289,86.66,87.17,0.5100000000000051,1,0
11291,55.24,55.1,-0.14000000000000057,0,0
11292,54.76,54.54,-0.21999999999999886,0,0
11294,56.64,56.63,-0.00999999999999801,0,0
11297,57.0,57.0,0.0,0,0
11298,56.87,56.87,0.0,0,0
11299,55.24,55.1,-0.14000000000000057,0,0
11300,56.84,56.84,0.0,0,0
11301,56.08,56.04,-0.03999999999999915,0,0
11302,55.15,55.0,-0.14999999999999858,0,0
11316,47.62,42.85,-4.769999999999996,0,0
11317,45.86,0.0,-45.86,0,0
11319,44.9,0.0,-44.9,0,0
11320,56.87,56.86,-0.00999999999999801,0,0
11321,56.9,56.9,0.0,0,0
11323,52.1,51.02,-1.0799999999999983,0,0
11327,54.88,54.69,-0.19000000000000483,0,0
11329,50.55,48.57,-1.9799999999999969,0,0
11330,53.57,53.06,-0.509999999999998,0,0
11331,44.54,0.0,-44.54,0,0
11332,54.46,54.18,-0.28000000000000114,0,0
11333,55.76,55.69,-0.07000000000000028,0,0
11353,55.84,55.78,-0.060000000000002274,0,0
11354,45.71,0.0,-45.71,0,0
11356,53.25,52.63,-0.6199999999999974,0,0
11357,56.91,56.9,-0.00999999999999801,0,0
11358,56.36,56.34,-0.01999999999999602,0,0
11363,48.4,44.54,-3.8599999999999994,0,0
11364,42.1,0.0,-42.1,0,0
11366,56.77,56.76,-0.010000000000005116,0,0
11380,57.13,57.13,0.0,0,0
11381,52.38,51.43,-0.9500000000000028,0,0
11383,55.86,55.8,-0.060000000000002274,0,0
11384,51.02,49.35,-1.6700000000000017,0,0
11385,83.43,82.0,-1.4300000000000068,0,0
11386,56.84,56.83,-0.010000000000005116,0,0
11387,55.15,55.0,-0.14999999999999858,0,0
11388,56.01,55.97,-0.03999999999999915,0,0
11389,55.32,55.19,-0.13000000000000256,0,0
11392,56.87,56.87,0.0,0,0
11393,57.09,57.09,0.0,0,0
11395,56.82,56.82,0.0,0,0
11396,57.04,57.03,-0.00999999999999801,0,0
11398,56.8,56.8,0.0,0,0
11403,98.54,98.5,-0.04000000000000625,0,0
11405,54.38,54.08,-0.30000000000000426,0,0
11406,53.71,53.25,-0.46000000000000085,0,0
11408,52.1,51.02,-1.0799999999999983,0,0
11410,85.74,85.34,-0.3999999999999915,0,0
11439,55.36,55.24,-0.11999999999999744,0,0
11447,56.99,56.99,0.0,0,0
11448,56.99,56.99,0.0,0,0
11449,56.88,56.88,0.0,0,0
11456,85.82,85.07,-0.75,0,0
11458,88.79,88.7,-0.09000000000000341,0,0
11464,0.0,0.0,0.0,0,0
11465,56.87,56.86,-0.00999999999999801,0,0
11482,56.31,56.28,-0.030000000000001137,0,0
11483,57.0,57.0,0.0,0,0
11491,86.72,86.7,-0.01999999999999602,0,0
11493,86.8,86.57,-0.23000000000000398,0,0
11501,54.94,54.76,-0.17999999999999972,0,0
11502,56.3,56.28,-0.01999999999999602,0,0
11503,56.91,56.91,0.0,0,0
11504,97.41,97.27,-0.14000000000000057,0,0
11510,56.46,56.44,-0.020000000000003126,0,0
11537,53.06,52.38,-0.6799999999999997,0,0
11538,49.13,46.01,-3.1200000000000045,0,0
11539,50.55,48.57,-1.9799999999999969,0,0
11540,54.76,84.85,30.089999999999996,1,0
11544,56.26,56.23,-0.030000000000001137,0,0
11545,86.91,86.91,0.0,0,0
11546,87.77,87.77,0.0,0,0
11547,87.59,87.59,0.0,0,0
11563,52.86,52.1,-0.759999999999998,0,0
11564,77.23,71.89,-5.340000000000003,0,0
11565,50.55,48.57,-1.9799999999999969,0,0
11566,48.48,44.72,-3.759999999999998,0,0
11567,45.07,0.0,-45.07,0,0
11568,99.43,99.42,-0.010000000000005116,0,0
11578,57.08,57.08,0.0,0,0
11579,56.85,56.85,0.0,0,0
11581,82.95,74.14,-8.810000000000002,0,0
11582,95.95,95.59,-0.35999999999999943,0,0
11583,56.76,56.75,-0.00999999999999801,0,0
11591,98.78,98.75,-0.030000000000001137,0,0
11618,56.7,56.69,-0.010000000000005116,0,0
11619,55.84,55.78,-0.060000000000002274,0,0
11623,80.38,75.74,-4.640000000000001,0,0
11706,57.03,57.03,0.0,0,0
11715,47.06,41.56,-5.5,0,0
11716,85.09,85.56,0.46999999999999886,1,0
11717,55.36,55.24,-0.11999999999999744,0,0
11718,53.97,53.57,-0.3999999999999986,0,0
11719,54.69,54.46,-0.22999999999999687,0,0
11726,51.02,49.35,-1.6700000000000017,0,0
11727,0.0,0.0,0.0,0,0
11728,54.62,54.38,-0.23999999999999488,0,0
11739,56.86,56.86,0.0,0,0
11740,73.36,32.09,-41.269999999999996,0,0
11742,56.38,56.36,-0.020000000000003126,0,0
11744,56.82,56.81,-0.00999999999999801,0,0
11746,57.01,57.01,0.0,0,0
11747,57.05,57.05,0.0,0,0
11748,57.05,57.05,0.0,0,0
11749,56.9,56.9,0.0,0,0
11750,56.58,56.57,-0.00999999999999801,0,0
11751,56.91,56.91,0.0,0,0
11755,53.41,52.86,-0.5499999999999972,0,0
11797,56.91,56.91,0.0,0,0
11798,56.99,56.99,0.0,0,0
11799,56.91,56.91,0.0,0,0
11895,55.43,55.32,-0.10999999999999943,0,0
11896,55.39,55.28,-0.10999999999999943,0,0
11904,56.79,56.78,-0.00999999999999801,0,0
11905,56.99,56.99,0.0,0,0
11924,86.57,86.51,-0.05999999999998806,0,0
11925,56.58,56.57,-0.00999999999999801,0,0
11954,56.31,56.28,-0.030000000000001137,0,0
11955,45.86,0.0,-45.86,0,0
11956,48.74,45.24,-3.5,0,0
11957,56.82,56.81,-0.00999999999999801,0,0
11958,52.63,51.78,-0.8500000000000014,0,0
11983,55.98,55.93,-0.04999999999999716,0,0
11998,54.94,54.76,-0.17999999999999972,0,0
11999,57.06,57.06,0.0,0,0
12000,56.64,56.64,0.0,0,0
12001,57.03,57.03,0.0,0,0
12002,52.63,51.78,-0.8500000000000014,0,0
12010,0.0,30.47,30.47,1,1
12011,56.26,56.23,-0.030000000000001137,0,0
12015,56.97,56.97,0.0,0,0
12016,53.25,52.63,-0.6199999999999974,0,0
12017,55.52,55.43,-0.09000000000000341,0,0
12018,55.43,55.32,-0.10999999999999943,0,0
12019,53.84,53.41,-0.4300000000000068,0,0
12025,49.2,46.15,-3.0500000000000043,0,0
12026,55.1,54.94,-0.1600000000000037,0,0
12029,53.97,53.57,-0.3999999999999986,0,0
12045,56.17,56.13,-0.03999999999999915,0,0
12061,56.18,56.14,-0.03999999999999915,0,0
12062,85.78,85.38,-0.4000000000000057,0,0
12073,55.05,54.88,-0.1699999999999946,0,0
12081,56.82,56.81,-0.00999999999999801,0,0
12082,55.58,55.49,-0.0899999999999963,0,0
12087,51.02,49.35,-1.6700000000000017,0,0
