CODIGO__MUESTRA,FECHA,NOMBRE DEL PUNTO DE MONITOREO,DEPARTAMENTO,MUNICIPIO,LATITUD,LONGITUD,risk_DISCHARGE_CO_0631,risk_SANITARY_CO_2115,risk_SANITARY_EPA,critical_violation_any,sanitary_epa_minus_co
11284,2005-02-15 00:00:00,RCA_BOGOTA_CUN_VILLAPINZON_PTE.CARRETERA-BOGOTA,CUNDINAMARCA,VILLAPINZÓN,5.218611,-73.595556,0.0,46.43,0.0,1,-46.43
11285,2005-02-15 00:00:00,RCA_BOGOTA_CUN_TOCANCIPA_PTE.TULIO BOTERO-BOGOTA,CUNDINAMARCA,TOCANCIPÁ,4.971916667,-73.91613889,0.0,54.08,53.71,1,-0.36999999999999744
11289,2005-02-15 00:00:00,RCA_BOGOTA_CUN_VILLAPINZON_SANPEDRO-BOGOTA,CUNDINAMARCA,VILLAPINZÓN,5.194722222,-73.61388889,55.28,86.66,87.17,1,0.5100000000000051
11291,2005-02-16 00:00:00,RCA_BOGOTA_CUN_SOACHA_ALICACHIN - EL SALTO [21207120],CUNDINAMARCA,SOACHA,4.544847222,-74.25826944,59.06,55.24,55.1,1,-0.14000000000000057
11292,2005-02-16 00:00:00,RCA_BOGOTA_CUN_SOACHA_ALICACHIN - EL SALTO [21207120],CUNDINAMARCA,SOACHA,4.544847222,-74.25826944,41.78,54.76,54.54,1,-0.21999999999999886
11294,2005-02-16 00:00:00,RCA_BOGOTA_CUN_EL COLEGIO_PTE.CARRETERA LA MESA - MESITAS,CUNDINAMARCA,EL COLEGIO,4.598969,-74.43601,32.66,56.64,56.63,1,-0.00999999999999801
11297,2005-02-16 00:00:00,RCA_BOGOTA_CUN_TOCAIMA_PTE.PORTILLO [21207960],CUNDINAMARCA,TOCAIMA,4.454861111,-74.60852778,53.21,57.0,57.0,1,0.0
11298,2005-02-17 00:00:00,RCA_MAGDALENA_CUN_GIRARDOT_GIRARDOT [21237030],CUNDINAMARCA,GIRARDOT,4.288073,-74.808592,22.99,56.87,56.87,1,0.0
11299,2005-02-17 00:00:00,RCA_BOGOTA_CUN_GIRARDOT_CAMPINA LA [21209200],CUNDINAMARCA,GIRARDOT,4.304888889,-74.793777778,0.0,55.24,55.1,1,-0.14000000000000057
11300,2005-02-17 00:00:00,RCA_MAGDALENA_TOL_FLANDES_ISLA DEL AMOR,TOLIMA,FLANDES,4.281944444,-74.77694444,22.98,56.84,56.84,1,0.0
11301,2005-02-18 00:00:00,RCA_SUMAPAZ_CUN_RICAURTE_SAN MIGUEL-SUMAPAZ [2119700147],CUNDINAMARCA,RICAURTE,4.248085,-74.744647,21.69,56.08,56.04,1,-0.03999999999999915
11302,2005-02-18 00:00:00,RCA_SUMAPAZ_TOL_MELGAR_LIMONAR EL [21197150],TOLIMA,MELGAR,4.232555556,-74.62055556,0.0,55.15,55.0,1,-0.14999999999999858
11316,2005-02-24 00:00:00,RCA_CHIVOR_CUN_UBALA_UBALA [35067030],CUNDINAMARCA,UBALÁ,4.780222222,-73.49183333,0.0,47.62,42.85,1,-4.769999999999996
11317,2005-02-23 00:00:00,RCA_RUCIO_CUN_UBALA_MUNDONUEVO[35067130],CUNDINAMARCA,UBALÁ,4.852833333,-73.39297222,0.0,45.86,0.0,1,-45.86
11319,2005-02-26 00:00:00,RCA_GUAVIO_CUN_JUNIN_PTE.HOLGUIN [35067050],CUNDINAMARCA,GACHETÁ,4.799055556,-73.62922222,0.0,44.9,0.0,1,-44.9
11320,2005-02-21 00:00:00,RCA_AMAZONAS_AMA_LETICIA_LETICIA [48017010],AMAZONAS,LETICIA,-4.222527778,-69.94272222,33.12,56.87,56.86,1,-0.00999999999999801
11321,2005-02-25 00:00:00,RCA_AMAZONAS_AMA_LETICIA_NAZARETH [48017030],AMAZONAS,LETICIA,-4.120194444,-70.03608333,33.17,56.9,56.9,1,0.0
11323,2005-02-24 00:00:00,RCA_SUBIA_CUN_SILVANIA_SILVANIA [21197110],CUNDINAMARCA,SILVANIA,4.403055556,-74.385305556,0.0,52.1,51.02,1,-1.0799999999999983
11327,2005-02-28 00:00:00,RCA_CHULO_BOY_TUTA_PILAS LAS [24037250],BOYACÁ,TUTA,5.666666667,-73.26666667,42.96,54.88,54.69,1,-0.19000000000000483
11329,2005-02-28 00:00:00,RCA_CHICAMOCHA_BOY_TIBASOSA_SAN RAFAEL [24037190],BOYACÁ,TIBASOSA,5.807611111,-73.01380556,0.0,50.55,48.57,1,-1.9799999999999969
11330,2005-02-28 00:00:00,RCA_CHICAMOCHA_BOY_SOGAMOSO_PTE.CHAMEZA [24037290],BOYACÁ,SOGAMOSO,5.759888889,-72.90652778,0.0,53.57,53.06,1,-0.509999999999998
11331,2005-02-28 00:00:00,RCA_SUMAPAZ_TOL_ICONONZO_PLAYA LA [21197030],TOLIMA,ICONONZO,4.19225,-74.500722222,0.0,44.54,0.0,1,-44.54
11332,2005-03-01 00:00:00,RCA_SUMAPAZ_TOL_MELGAR_LIMONAR EL [21197150],TOLIMA,MELGAR,4.232555556,-74.62055556,0.0,54.46,54.18,1,-0.28000000000000114
11333,2005-03-01 00:00:00,RCA_CAUCA_RIS_LA VIRGINIA_LA VIRGINIA [26177030],RISARALDA,LA VIRGINIA,4.8925,-75.882694444,0.0,55.76,55.69,1,-0.07000000000000028
11353,2005-03-01 00:00:00,RCA_PASTO_NAR_PASTO_UNIVERSIDAD [52047010],NARIÑO,PASTO,1.234333333,-77.29294444,43.98,55.84,55.78,1,-0.060000000000002274
11354,2005-03-02 00:00:00,RCA_PASTO_NAR_PASTO_BOCATOMA CENTENARIO [52047030],NARIÑO,PASTO,1.201388889,-77.24777778,0.0,45.71,0.0,1,-45.71
11356,2005-03-04 00:00:00,RCA_DE ORO_SAN_GIRON_PALOGORDO [23197690],SANTANDER,GIRÓN,6.969166667,-73.13055556,0.0,53.25,52.63,1,-0.6199999999999974
